prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size_sqft,furnished,facilities,additional_facilities,region
28 Dutamas,2017,2900,Kuala Lumpur - Solaris Dutamas,Condominium,4,2,3,1719,Fully Furnished,"Playground, Swimming Pool, Jogging Track, Multipurpose hall, Security, Gymnasium","Air-Cond, Cooking Allowed",Kuala Lumpur
Pangsapuri Melur (Sentul),2006,1750,Kuala Lumpur - Sentul,Apartment,3,0,2,1065,Partially Furnished,None,None,Kuala Lumpur
Residensi Vista Wirajaya,2017,1800,Kuala Lumpur - Setapak,Apartment,3,1,2,885,Fully Furnished,None,None,Kuala Lumpur
Bayu Sentul Condominium,2015,1900,Kuala Lumpur - Sentul,Condominium,3,2,2,1300,Partially Furnished,None,None,Kuala Lumpur
Flexus Signature Suites,2017,1500,Kuala Lumpur - Jalan Kuching,Studio,1,1,1,530,Fully Furnished,"Parking, Security, Sauna, Multipurpose hall, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Menjalara 18,2017,2400,Kuala Lumpur - Bandar Menjalara,Condominium,3,1,2,1316,Fully Furnished,"Barbeque area, Swimming Pool, Gymnasium, Club house, Minimart, Squash Court, Parking, Sauna","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
G Residence @ Desa Pandan,2015,4500,Kuala Lumpur - Desa Pandan,Service Residence,3,2,2,1539,Fully Furnished,"Multipurpose hall, Security, Gymnasium, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Greenpark,1999,1400,Kuala Lumpur - Old Klang Road,Condominium,3,1,2,1270,Partially Furnished,"Parking, Security, Tennis Court, Swimming Pool, Playground, Lift, Jogging Track, Minimart, Gymnasium, Barbeque area","Air-Cond, Cooking Allowed, Internet",Kuala Lumpur
Majestic Maxim,2021,1800,Kuala Lumpur - Cheras,Service Residence,3,1,2,819,Partially Furnished,"Security, Swimming Pool, Lift, Gymnasium, Barbeque area, Jogging Track, Parking, Playground, Minimart, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Internet",Kuala Lumpur
Baiduri Apartment (Desa Pandan),2017,1500,Kuala Lumpur - Desa Pandan,Apartment,3,1,2,950,Partially Furnished,"Security, Parking",None,Kuala Lumpur
Bennington Residences @ SkyArena,2019,3000,Kuala Lumpur - Setapak,Condominium,3,2,2,1200,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Squash Court","Air-Cond, Cooking Allowed, Washing Machine, Internet",Kuala Lumpur
Sri Putramas,2004,1600,Kuala Lumpur - Jalan Kuching,Condominium,3,1,2,1100,Fully Furnished,"Minimart, Swimming Pool, Sauna, Playground, Gymnasium, Security, Tennis Court, Barbeque area, Parking","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Putra Villa,2007,1800,Kuala Lumpur - Setapak,Condominium,3,0,2,1066,Fully Furnished,None,None,Kuala Lumpur
38 Bidara,2017,2100,Kuala Lumpur - KLCC,Condominium,2,0,2,706,Fully Furnished,"Minimart, Swimming Pool, Sauna, Parking, Security, Gymnasium, Barbeque area, Club house, Playground",None,Kuala Lumpur
3 Towers,2015,2500,Kuala Lumpur - Ampang Hilir,Condominium,2,1,1,890,Fully Furnished,"Security, Gymnasium, Multipurpose hall, Parking, Barbeque area, Swimming Pool",None,Kuala Lumpur
One Maxim,2020,1300,Kuala Lumpur - Sentul,Service Residence,2,1,2,650,Partially Furnished,"Jogging Track, Playground, Parking, Swimming Pool, Gymnasium, Sauna, Multipurpose hall, Security, Barbeque area",None,Kuala Lumpur
Casa Mutiara,2007,2000,Kuala Lumpur - Bukit Bintang,Service Residence,2,1,2,742,Fully Furnished,"Gymnasium, Sauna, Parking, Playground, Security, Swimming Pool, Barbeque area",None,Kuala Lumpur
Sofiya Residences,2017,2000,Kuala Lumpur - Desa ParkCity,Condominium,3,1,2,862,Fully Furnished,"Security, Playground","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Laman Tasik,2002,2100,Kuala Lumpur - Cheras,Condominium,4,1,3,1300,Fully Furnished,"Parking, Security, Minimart, Playground, Swimming Pool, Gymnasium",None,Kuala Lumpur
Residensi Seri Wahyu @ Jalan Kuching KL,2017,1300,Kuala Lumpur - KL City,Apartment,3,1,2,805,Partially Furnished,"Squash Court, Jogging Track, Gymnasium, Parking, Swimming Pool, Lift, Security, Playground, Minimart",None,Kuala Lumpur
The Hamilton,2020,2600,Kuala Lumpur - Wangsa Maju,Condominium,4,2,2,1000,Fully Furnished,"Playground, Jogging Track, Multipurpose hall, Parking, Swimming Pool, Barbeque area, Security, Gymnasium",None,Kuala Lumpur
3 Towers,2015,2000,Kuala Lumpur - Ampang Hilir,Service Residence,1,1,1,440,Fully Furnished,"Barbeque area, Multipurpose hall, Parking, Security, Swimming Pool, Gymnasium",None,Kuala Lumpur
Menjalara 18,2017,2500,Kuala Lumpur - Bandar Menjalara,Condominium,5,2,3,1600,Fully Furnished,"Barbeque area, Swimming Pool, Gymnasium, Club house, Minimart, Squash Court, Parking, Sauna","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
The Havre @ Bukit Jalil,2020,2500,Kuala Lumpur - Bukit Jalil,Condominium,3,2,2,1028,Fully Furnished,"Security, Squash Court, Jogging Track, Lift, Multipurpose hall, Minimart, Swimming Pool, Gymnasium, Barbeque area, Sauna, Club house, Parking, Playground, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
M3 Residency,2017,1600,Kuala Lumpur - Setapak,Condominium,3,1,2,950,Partially Furnished,None,None,Kuala Lumpur
Majestic Maxim,2021,1400,Kuala Lumpur - Cheras,Service Residence,2,2,2,650,Not Furnished,"Parking, Gymnasium, Jogging Track, Lift, Barbeque area, Security, Swimming Pool, Playground","Air-Cond, Near KTM/LRT, Cooking Allowed",Kuala Lumpur
