prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size_sqft,furnished,facilities,additional_facilities,region
i-Zen @ Kiara 1,2008,2600,Kuala Lumpur - Mont Kiara,Condominium,2,2,2,913,Fully Furnished,"Security, Gymnasium, Parking, Playground, Barbeque area, Squash Court, Sauna, Swimming Pool, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Mizumi Residences,2020,1300,Kuala Lumpur - Kepong,Service Residence,4,1,2,932,Partially Furnished,"Minimart, Parking, Lift, Multipurpose hall, Security, Swimming Pool, Tennis Court, Club house, Playground, Gymnasium, Squash Court, Jogging Track, Sauna",None,Kuala Lumpur
Inspirasi Mont Kiara,2017,3500,Kuala Lumpur - Mont Kiara,Condominium,3,2,2,1018,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
One Maxim,2020,1700,Kuala Lumpur - Sentul,Service Residence,3,1,2,890,Fully Furnished,"Multipurpose hall, Security, Gymnasium, Jogging Track, Barbeque area, Swimming Pool, Playground, Parking, Sauna, Lift","Cooking Allowed, Washing Machine, Air-Cond",Kuala Lumpur
Saville,2013,1950,Kuala Lumpur - Taman Melawati,Service Residence,3,0,2,1009,Partially Furnished,"Parking, Security, Multipurpose hall, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Inspirasi Mont Kiara,2017,3500,Kuala Lumpur - Mont Kiara,Condominium,3,2,2,1018,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Jogging Track",None,Kuala Lumpur
Pandan Heights Condominium,2017,1100,Kuala Lumpur - Cheras,Condominium,3,0,2,860,Partially Furnished,"Parking, Security, Playground, Minimart","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
The Loft @ ZetaPark,2017,1300,Kuala Lumpur - Setapak,Studio,1,1,1,585,Not Furnished,"Multipurpose hall, Parking, Gymnasium, Jogging Track, Sauna, Security, Swimming Pool, Lift, Playground, Minimart","Air-Cond, Cooking Allowed",Kuala Lumpur
The Loft @ ZetaPark,2017,2200,Kuala Lumpur - Setapak,Condominium,3,2,2,1012,Fully Furnished,"Multipurpose hall, Parking, Gymnasium, Jogging Track, Sauna, Security, Swimming Pool",None,Kuala Lumpur
KM1,2014,2800,Kuala Lumpur - Bukit Jalil,Condominium,3,2,3,1500,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
PV18 Residence,2017,1999,Kuala Lumpur - Setapak,Service Residence,3,2,2,1219,Partially Furnished,"Lift, Parking, Security, Swimming Pool, Playground, Gymnasium, Club house, Multipurpose hall, Jogging Track","Air-Cond, Washing Machine, Cooking Allowed",Kuala Lumpur
The Loft @ ZetaPark,2017,2200,Kuala Lumpur - Setapak,Condominium,3,2,2,1012,Partially Furnished,"Multipurpose hall, Parking, Gymnasium, Jogging Track, Sauna, Security, Swimming Pool","Air-Cond, Cooking Allowed",Kuala Lumpur
Villa Crystal,2017,2000,Kuala Lumpur - Segambut,Condominium,3,2,2,1203,Partially Furnished,"Sauna, Parking, Security, Swimming Pool, Gymnasium, Jogging Track, Playground","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Eco Sky,2018,2450,Kuala Lumpur - Jalan Ipoh,Service Residence,3,2,2,1088,Fully Furnished,"Parking, Security, Lift, Gymnasium, Sauna, Barbeque area, Swimming Pool, Playground, Multipurpose hall, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Verve Suites (Sri Hartamas),2012,2300,Kuala Lumpur - Sri Hartamas,Service Residence,1,1,1,672,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Majestic Maxim,2021,1200,Kuala Lumpur - Cheras,Service Residence,2,1,2,650,Partially Furnished,"Jogging Track, Lift, Parking, Gymnasium, Security, Swimming Pool, Barbeque area, Playground","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
The Era,2021,1500,Kuala Lumpur - Segambut,Service Residence,1,1,1,300,Partially Furnished,"Playground, Swimming Pool, Gymnasium, Parking, Security, Barbeque area, Sauna, Club house, Jogging Track, Lift, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Platinum Teratai Residence,2019,1450,Kuala Lumpur - Setapak,Condominium,3,1,2,928,Partially Furnished,"Playground, Swimming Pool, Multipurpose hall, Security, Gymnasium",None,Kuala Lumpur
Villa Scott,2017,2600,Kuala Lumpur - Brickfields,Condominium,4,1,2,1450,Fully Furnished,"Parking, Swimming Pool, Squash Court, Security, Minimart, Barbeque area, Gymnasium, Sauna, Club house, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
PV9 Residences @ Taman Melati,2022,2300,Kuala Lumpur - Setapak,Service Residence,4,2,2,1100,Fully Furnished,None,None,Kuala Lumpur
Seasons Garden Residences @ Wangsa Maju,2017,1450,Kuala Lumpur - Wangsa Maju,Condominium,4,1,2,850,Partially Furnished,"Security, Swimming Pool, Parking, Minimart, Playground, Gymnasium",None,Kuala Lumpur
Residensi Seri Wahyu @ Jalan Kuching KL,2017,1400,Kuala Lumpur - KL City,Apartment,3,1,2,800,Fully Furnished,"Gymnasium, Playground, Squash Court, Security, Minimart, Jogging Track, Lift, Parking, Swimming Pool",None,Kuala Lumpur
Residensi Desa Satumas,2017,1700,Kuala Lumpur - Taman Desa,Condominium,3,1,2,850,Fully Furnished,"Parking, Playground, Security, Multipurpose hall",Washing Machine,Kuala Lumpur
Villa Scott,2017,2500,Kuala Lumpur - Brickfields,Condominium,4,1,3,1500,Fully Furnished,"Parking, Swimming Pool, Squash Court, Security, Minimart, Barbeque area, Gymnasium, Sauna, Club house, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
South View,2017,3400,Kuala Lumpur - Bangsar South,Service Residence,3,1,2,1119,Fully Furnished,"Barbeque area, Security, Playground, Gymnasium, Parking, Swimming Pool, Multipurpose hall, Lift, Minimart","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Sentul Utama Condominium,2009,1500,Kuala Lumpur - Sentul,Condominium,3,1,2,877,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Minimart, Multipurpose hall, Jogging Track, Barbeque area, Tennis Court, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
city of green,2017,1600,Kuala Lumpur - Bukit Jalil,Condominium,3,2,2,1000,Fully Furnished,None,"Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
city of green,2017,1200,Kuala Lumpur - Bukit Jalil,Condominium,3,2,2,1000,Partially Furnished,"Swimming Pool, Parking, Gymnasium, Playground, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
100 Residency,2016,2900,Kuala Lumpur - Setapak,Condominium,4,1,3,1447,Fully Furnished,"Minimart, Tennis Court, Parking, Swimming Pool, Lift, Barbeque area, Security, Playground, Gymnasium, Squash Court, Sauna","Air-Cond, Washing Machine, Cooking Allowed",Kuala Lumpur
Mizumi Residences,2020,1500,Kuala Lumpur - Kepong,Service Residence,4,2,2,932,Partially Furnished,"Lift, Multipurpose hall, Minimart, Playground, Club house, Security, Swimming Pool, Gymnasium, Jogging Track, Sauna, Parking, Tennis Court, Squash Court","Cooking Allowed, Air-Cond, Near KTM/LRT",Kuala Lumpur
Trinity Aquata,2019,2000,Kuala Lumpur - Sungai Besi,Condominium,3,2,2,1216,Partially Furnished,"Gymnasium, Parking, Security, Swimming Pool, Jogging Track",None,Kuala Lumpur
M Centura,2021,1200,Kuala Lumpur - Sentul,Service Residence,2,1,1,650,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Maxim Residences,2017,1400,Kuala Lumpur - Cheras,Service Residence,3,2,2,1050,Partially Furnished,"Security, Gymnasium, Parking, Swimming Pool, Lift, Playground, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
United Point Residence @ North Kiara,2019,1500,Kuala Lumpur - Kepong,Service Residence,3,1,2,829,Partially Furnished,None,"Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Trinity Aquata,2019,2000,Kuala Lumpur - Sungai Besi,Condominium,3,0,2,839,Fully Furnished,"Gymnasium, Security, Parking, Swimming Pool, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Bukit OUG Condominium,2017,1200,Kuala Lumpur - Bukit Jalil,Condominium,3,0,2,1465,Not Furnished,"Swimming Pool, Parking, Playground, Gymnasium, Tennis Court, Security, Minimart, Squash Court, Jogging Track",None,Kuala Lumpur
Residence 8,2013,1200,Kuala Lumpur - Old Klang Road,Service Residence,1,1,1,350,Fully Furnished,"Gymnasium, Sauna, Multipurpose hall, Swimming Pool, Barbeque area, Security, Playground",None,Kuala Lumpur
The Era,2021,2500,Kuala Lumpur - Segambut,Service Residence,3,2,2,1023,Not Furnished,"Playground, Swimming Pool, Gymnasium, Jogging Track, Parking, Security, Barbeque area, Sauna",None,Kuala Lumpur
Residensi Desa Satumas,2017,1200,Kuala Lumpur - Taman Desa,Apartment,3,0,2,850,Not Furnished,"Multipurpose hall, Parking, Playground, Security, Swimming Pool, Lift, Minimart",None,Kuala Lumpur
3 Towers,2015,1900,Kuala Lumpur - Ampang Hilir,Service Residence,1,0,1,440,Fully Furnished,"Swimming Pool, Gymnasium, Multipurpose hall, Parking, Barbeque area, Security",None,Kuala Lumpur
Parkview Service Apartment,2006,2400,Kuala Lumpur - KLCC,Condominium,1,1,1,660,Fully Furnished,"Tennis Court, Swimming Pool, Squash Court, Jogging Track, Gymnasium, Parking, Security, Minimart, Playground",None,Kuala Lumpur
Platinum Splendor Residensi Semarak,2020,2000,Kuala Lumpur - Keramat,Condominium,3,1,2,1065,Partially Furnished,"Gymnasium, Security, Playground, Swimming Pool, Lift, Sauna, Tennis Court, Parking, Minimart, Squash Court",None,Kuala Lumpur
Ria Apartment Taman Daya Jinjang Good condition,2017,850,Kuala Lumpur - Kepong,Apartment,3,1,2,860,Partially Furnished,"Lift, Parking, Playground",Air-Cond,Kuala Lumpur
M Vertica,2023,2500,Kuala Lumpur - Cheras,Condominium,3,2,2,850,Fully Furnished,"Lift, Parking, Security, Jogging Track, Tennis Court, Multipurpose hall, Playground, Swimming Pool, Barbeque area",None,Kuala Lumpur
M Vertica,2023,2200,Kuala Lumpur - Cheras,Condominium,3,2,2,850,Fully Furnished,"Lift, Parking, Security, Jogging Track, Tennis Court, Multipurpose hall, Playground, Swimming Pool, Barbeque area",None,Kuala Lumpur
Titiwangsa Sentral,2011,2400,Kuala Lumpur - Titiwangsa,Condominium,3,0,2,1100,Fully Furnished,"Tennis Court, Barbeque area, Squash Court, Swimming Pool, Playground, Gymnasium, Security, Lift, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
The Havre @ Bukit Jalil,2020,2200,Kuala Lumpur - Bukit Jalil,Condominium,3,2,3,1100,Fully Furnished,"Parking, Security, Club house, Minimart, Tennis Court, Sauna, Playground, Gymnasium, Squash Court, Barbeque area, Multipurpose hall, Swimming Pool, Jogging Track, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Sky Suites @ KLCC,2019,3400,Kuala Lumpur - KLCC,Service Residence,3,0,2,849,Fully Furnished,None,"Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Sri Ayu,2017,1700,Kuala Lumpur - Setiawangsa,Apartment,3,1,2,1100,Fully Furnished,"Playground, Parking, Security, Minimart, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
M Vertica,2023,2500,Kuala Lumpur - Cheras,Condominium,3,2,2,850,Fully Furnished,"Swimming Pool, Jogging Track, Parking, Security, Playground, Multipurpose hall, Tennis Court, Lift, Barbeque area",None,Kuala Lumpur
The Havre @ Bukit Jalil,2020,1500,Kuala Lumpur - Bukit Jalil,Condominium,3,2,2,1100,Partially Furnished,"Parking, Security, Club house, Minimart, Tennis Court, Sauna, Playground, Gymnasium, Squash Court, Barbeque area, Multipurpose hall, Swimming Pool, Jogging Track, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Suria @ North Kiara,2018,1700,Kuala Lumpur - Segambut,Apartment,2,1,2,713,Fully Furnished,"Swimming Pool, Gymnasium, Playground, Security, Minimart, Parking","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Residensi Desa Satumas,2017,1000,Kuala Lumpur - Taman Desa,Condominium,3,0,2,850,Fully Furnished,"Parking, Playground, Multipurpose hall, Security",None,Kuala Lumpur
Residensi Bukit Jalil,2017,1000,Kuala Lumpur - Bukit Jalil,Condominium,3,0,2,800,Fully Furnished,None,None,Kuala Lumpur
Seasons Garden Residences @ Wangsa Maju,2017,1600,Kuala Lumpur - Wangsa Maju,Apartment,3,2,2,850,Fully Furnished,"Security, Swimming Pool, Parking, Minimart, Playground, Gymnasium",None,Kuala Lumpur
Idaman Sutera,2017,1200,Kuala Lumpur - Setapak,Condominium,3,1,2,845,Partially Furnished,"Jogging Track, Sauna, Security, Minimart, Gymnasium, Barbeque area, Tennis Court, Parking, Playground, Swimming Pool",None,Kuala Lumpur
M Suite,2020,1650,Kuala Lumpur - Bandar Menjalara,Service Residence,2,1,1,510,Fully Furnished,"Swimming Pool, Playground, Security, Parking, Lift, Gymnasium, Barbeque area, Minimart, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Bayu Andaman,2017,1100,Kuala Lumpur - Sentul,Apartment,3,0,2,1000,Fully Furnished,"Playground, Lift, Minimart, Squash Court, Parking, Security, Swimming Pool, Gymnasium, Sauna",None,Kuala Lumpur
Lido Residency,2016,1600,Kuala Lumpur - Cheras,Condominium,2,1,2,962,Not Furnished,"Gymnasium, Parking, Jogging Track, Swimming Pool, Security, Barbeque area, Multipurpose hall, Playground, Lift, Minimart",None,Kuala Lumpur
Suasana Lumayan,2015,1600,Kuala Lumpur - Cheras,Condominium,4,1,2,1142,Partially Furnished,"Minimart, Sauna, Security, Gymnasium, Playground, Parking, Swimming Pool, Lift","Air-Cond, Cooking Allowed",Kuala Lumpur
OUG Parklane,2017,1200,Kuala Lumpur - OUG,Service Residence,3,1,2,950,Partially Furnished,"Squash Court, Sauna, Playground, Swimming Pool, Parking, Security, Minimart, Lift","Cooking Allowed, Air-Cond",Kuala Lumpur
Pelangi Magna,2017,850,Kuala Lumpur - Kepong,Apartment,3,0,2,729,Not Furnished,"Playground, Lift","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Lido Residency,2016,1800,Kuala Lumpur - Cheras,Condominium,3,2,2,1000,Partially Furnished,"Gymnasium, Parking, Jogging Track, Swimming Pool, Security, Barbeque area, Multipurpose hall, Playground, Lift, Minimart","Air-Cond, Near KTM/LRT",Kuala Lumpur
Cendana Apartment,2008,1000,Kuala Lumpur - Cheras,Apartment,2,0,1,616,Partially Furnished,"Playground, Security, Lift, Parking",None,Kuala Lumpur
Putra Suria Residence,2017,1350,Kuala Lumpur - Cheras,Condominium,3,1,2,750,Partially Furnished,"Jogging Track, Parking, Gymnasium, Security, Minimart, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Plaza Damas,2017,1500,Kuala Lumpur - Sri Hartamas,Service Residence,1,0,1,590,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
The Hipster @ Taman Desa,2022,1550,Kuala Lumpur - Taman Desa,Condominium,3,2,2,958,Partially Furnished,"Playground, Swimming Pool, Squash Court, Parking, Security, Gymnasium, Minimart, Lift, Sauna, Barbeque area, Multipurpose hall, Tennis Court, Jogging Track, Club house","Internet, Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
The Hipster @ Taman Desa,2022,2200,Kuala Lumpur - Taman Desa,Condominium,3,2,2,958,Fully Furnished,"Playground, Swimming Pool, Squash Court, Parking, Security, Gymnasium, Minimart, Lift, Sauna, Barbeque area, Multipurpose hall, Tennis Court, Club house, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Tiara Mutiara,2014,1500,Kuala Lumpur - Old Klang Road,Condominium,3,1,2,850,Fully Furnished,None,None,Kuala Lumpur
Scenaria @ North Kiara Hills,2015,2400,Kuala Lumpur - Segambut,Condominium,4,2,3,1300,Fully Furnished,"Playground, Swimming Pool, Jogging Track, Barbeque area, Multipurpose hall, Security, Gymnasium, Parking, Club house, Sauna, Lift, Minimart, Squash Court, Tennis Court","Air-Cond, Internet, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
The Park Sky Residence @ Bukit Jalil City,2019,2500,Kuala Lumpur - Bukit Jalil,Service Residence,3,2,2,1061,Partially Furnished,"Playground, Multipurpose hall, Parking, Swimming Pool, Security, Lift, Gymnasium, Club house, Sauna, Jogging Track, Barbeque area, Minimart","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur
Taman Miharja Apartment (LRT Miharja),2017,500,Kuala Lumpur - Cheras,Flat,1,0,1,550,Fully Furnished,"Lift, Playground, Multipurpose hall, Minimart","Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Idaman abadi,2017,801,Kuala Lumpur - Sungai Besi,Condominium,3,2,3,1022,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Multipurpose hall, Jogging Track, Club house, Sauna, Barbeque area, Minimart","Air-Cond, Near KTM/LRT, Cooking Allowed, Washing Machine, Internet",Kuala Lumpur
Ketumbar Heights,2010,1400,Kuala Lumpur - Cheras,Condominium,3,1,2,903,Fully Furnished,"Parking, Gymnasium, Sauna, Playground",Cooking Allowed,Kuala Lumpur
PV 10 Platinum Lake Condominium,2008,1900,Kuala Lumpur - Setapak,Condominium,4,1,2,1272,Fully Furnished,"Parking, Playground, Gymnasium, Multipurpose hall, Club house, Security, Minimart, Squash Court, Swimming Pool, Tennis Court, Jogging Track, Barbeque area",None,Kuala Lumpur
Tuan Residency,2017,1500,Kuala Lumpur - Jalan Kuching,Service Residence,3,1,2,879,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Minimart, Gymnasium",Air-Cond,Kuala Lumpur
Pavilion Embassy,2017,4000,Kuala Lumpur - Ampang,Condominium,2,0,2,1098,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Legasi Kampong Bharu,2020,3000,Kuala Lumpur - KL City,Apartment,3,1,2,950,Fully Furnished,"Minimart, Squash Court, Jogging Track, Lift, Tennis Court, Parking, Security, Playground, Gymnasium, Swimming Pool",None,Kuala Lumpur
Arte Mont Kiara,2017,2500,Kuala Lumpur - Mont Kiara,Service Residence,2,1,2,726,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Squash Court, Tennis Court, Barbeque area, Sauna, Jogging Track, Club house, Gymnasium",None,Kuala Lumpur
The Crest Jalan Sultan Ismail,2010,3200,Kuala Lumpur - Jalan Sultan Ismail,Service Residence,3,1,2,1182,Partially Furnished,"Barbeque area, Security, Minimart, Swimming Pool, Playground, Squash Court, Sauna, Club house, Parking, Tennis Court, Gymnasium, Jogging Track, Lift, Multipurpose hall","Air-Cond, Cooking Allowed",Kuala Lumpur
Infiniti 3 Residences,2017,2700,Kuala Lumpur - Wangsa Maju,Condominium,3,2,2,1085,Fully Furnished,None,None,Kuala Lumpur
"Aston Kiara 3, Mont Kiara",2017,850,Kuala Lumpur - Mont Kiara,Condominium,3,2,3,1600,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Sauna, Gymnasium, Multipurpose hall, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
The Herz,2020,1900,Kuala Lumpur - Kepong,Apartment,3,2,3,1073,Fully Furnished,"Tennis Court, Sauna, Minimart, Lift, Security, Swimming Pool, Squash Court, Multipurpose hall, Parking, Playground, Barbeque area, Club house, Gymnasium, Jogging Track",None,Kuala Lumpur
Tiara Mutiara,2014,1550,Kuala Lumpur - Old Klang Road,Condominium,2,1,2,722,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
"Fera Residence @ The Quartz, Wangsa Maju",2017,1650,Kuala Lumpur - Wangsa Maju,Service Residence,3,2,2,950,Partially Furnished,"Parking, Swimming Pool",None,Kuala Lumpur
The Reach @ Titiwangsa,2017,2300,Kuala Lumpur - Setapak,Condominium,3,2,3,1368,Fully Furnished,"Security, Squash Court, Parking, Swimming Pool, Gymnasium, Lift, Playground","Air-Cond, Near KTM/LRT, Washing Machine, Cooking Allowed",Kuala Lumpur
Residensi Jalilmas,2017,1100,Kuala Lumpur - Bukit Jalil,Apartment,3,1,2,800,Partially Furnished,"Parking, Multipurpose hall, Minimart, Security, Lift","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Maxim Residences,2017,1400,Kuala Lumpur - Cheras,Service Residence,2,2,2,825,Partially Furnished,"Parking, Security, Gymnasium, Swimming Pool","Air-Cond, Near KTM/LRT",Kuala Lumpur
The Address @ Taman Desa,2022,3500,Kuala Lumpur - Taman Desa,Condominium,3,2,2,1118,Fully Furnished,"Parking, Barbeque area, Jogging Track, Gymnasium, Sauna, Security, Minimart, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
TR Residence,2017,2500,Kuala Lumpur - Titiwangsa,Service Residence,2,1,1,710,Fully Furnished,"Swimming Pool, Jogging Track, Barbeque area, Multipurpose hall, Playground, Gymnasium, Security, Parking","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Sri Jelatek,2017,1700,Kuala Lumpur - Setapak,Condominium,3,1,2,1100,Partially Furnished,"Parking, Security, Tennis Court, Lift, Swimming Pool, Playground, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
The Herz,2020,2500,Kuala Lumpur - Kepong,Apartment,3,2,3,1144,Fully Furnished,"Security, Playground, Barbeque area, Sauna, Minimart, Jogging Track, Parking, Gymnasium, Squash Court, Multipurpose hall, Club house, Swimming Pool, Tennis Court, Lift","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
The Hamstead,2017,1900,Kuala Lumpur - Cheras,Condominium,3,2,2,1003,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Barbeque area, Sauna, Gymnasium, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Desa Dua Aman Puri,1990,900,Kuala Lumpur - Kepong,Apartment,3,1,2,850,Partially Furnished,"Security, Parking, Minimart, Playground, Lift","Air-Cond, Cooking Allowed",Kuala Lumpur
Batu 9 double story house,2017,1800,Kuala Lumpur - Cheras,Duplex,4,3,3,3000,Partially Furnished,"Parking, Security, Lift, Playground","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Kiara East,2017,1750,Kuala Lumpur - Jalan Kuching,Service Residence,2,1,1,700,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Club house, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Kuchai Entrepreneurs Park,2017,900,Kuala Lumpur - Kuchai Lama,Flat,2,0,2,750,Partially Furnished,Parking,Near KTM/LRT,Kuala Lumpur
Sentul Point Suite Apartment,2020,1200,Kuala Lumpur - Sentul,Apartment,3,1,2,875,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Maytower,2007,1450,Kuala Lumpur - KL City,Service Residence,1,0,1,560,Fully Furnished,None,None,Kuala Lumpur
South Brooks,2021,3600,Kuala Lumpur - Desa ParkCity,Condominium,3,0,2,1346,Partially Furnished,"Parking, Security, Playground, Swimming Pool, Gymnasium, Barbeque area, Jogging Track, Lift, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Lakeville Residence,2017,1980,Kuala Lumpur - Jalan Ipoh,Condominium,3,2,2,1100,Fully Furnished,"Parking, Gymnasium, Security, Sauna, Lift, Swimming Pool, Playground, Multipurpose hall, Barbeque area, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Arena Green,2000,1400,Kuala Lumpur - Bukit Jalil,Apartment,3,0,2,878,Fully Furnished,"Security, Parking, Minimart, Playground",None,Kuala Lumpur
The Holmes 2,2021,1600,Kuala Lumpur - Cheras,Condominium,3,2,2,1000,Partially Furnished,"Parking, Security, Playground, Swimming Pool, Multipurpose hall, Sauna, Barbeque area, Gymnasium, Jogging Track, Lift, Tennis Court, Squash Court, Minimart, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
"Sri Ampang Hilir, Desa Pandan",2013,1800,Kuala Lumpur - Desa Pandan,Condominium,3,0,2,1260,Partially Furnished,"Jogging Track, Barbeque area, Parking, Minimart, Playground, Swimming Pool, Gymnasium",None,Kuala Lumpur
The Hamstead,2017,1350,Kuala Lumpur - Cheras,Condominium,3,2,2,1003,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Barbeque area, Sauna, Gymnasium, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT, Internet",Kuala Lumpur
"SkyAwani 3 Residence, Setapak",2021,1300,Kuala Lumpur - Setapak,Condominium,3,1,2,800,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
